id,dataset,question,content,training_data_type
919d2ef7-cf02-51b3-9390-4e13c1e5386e-sql,default,"
                    Generating SQL for this question: 
                    Generating SQL for this question: 
                    Generating SQL for this question: Find all tracks with a name containing ""What"" (case-insensitive) 
                    results in the following error: [ERROR-SQL] Failed to generate SQL for prompt: Find all tracks with a name containing ""What"" (case-insensitive)  with the following exception: 
429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 46
}
] .
                    Can you try to fix the error and re-generate the SQL statement?
                
                    results in the following error: [ERROR-SQL] Failed to generate SQL for prompt: Find all tracks with a name containing ""What"" (case-insensitive)  with the following exception: 
429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 46
}
] .
                    Can you try to fix the error and re-generate the SQL statement?
                
                    results in the following error: [ERROR-SQL] Failed to generate SQL for prompt: Find all tracks with a name containing ""What"" (case-insensitive)  with the following exception: 
429 You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. [violations {
}
, links {
  description: ""Learn more about Gemini API quotas""
  url: ""https://ai.google.dev/gemini-api/docs/rate-limits""
}
, retry_delay {
  seconds: 46
}
] .
                    Can you try to fix the error and re-generate the SQL statement?
                ","SELECT
  *
FROM tracks
WHERE
  Name LIKE '%What%' COLLATE NOCASE limit 20",sql
74b95ac2-9b3c-5c86-afd6-061cae7fee89-sql,default,Get the total number of invoices for each customer,"SELECT
  T1.FirstName,
  T1.LastName,
  COUNT(T2.InvoiceId) AS NumberOfInvoices
FROM customers AS T1
INNER JOIN invoices AS T2
  ON T1.CustomerId = T2.CustomerId
GROUP BY
  T1.CustomerId,
  T1.FirstName,
  T1.LastName limit 20",sql
6e613063-b86d-5259-8b75-f0f66e64af29-sql,default,Find the total number of invoices per country,"SELECT
  BillingCountry,
  COUNT(InvoiceId) AS TotalInvoices
FROM invoices
GROUP BY
  BillingCountry limit 20",sql
34ec63d1-6e6c-571c-9ff8-5877d7636fbd-sql,default,List all invoices with a total exceeding $10,"SELECT
  *
FROM invoices
WHERE
  Total > 10 limit 20",sql
a8979eeb-8d03-5367-9b88-79e34b0e535b-sql,default,Find all invoices since 2010 and the total amount invoiced:,"SELECT
  InvoiceId,
  InvoiceDate,
  Total
FROM invoices
WHERE
  InvoiceDate >= '2010-01-01' limit 20",sql
261e53ac-e6b0-5fc8-80a2-052a8323f1f6-sql,default,List all employees and their reporting manager's name (if any):,"SELECT
  E.FirstName,
  E.LastName,
  M.FirstName AS ManagerFirstName,
  M.LastName AS ManagerLastName
FROM employees AS E
LEFT JOIN employees AS M
  ON E.ReportsTo = M.EmployeeId limit 20",sql
9c41fbfc-f220-557e-9ace-8cf9e5317bab-sql,default, Get the average invoice total for each customer:,"SELECT
  T1.FirstName,
  T1.LastName,
  AVG(T2.Total) AS AverageInvoiceTotal
FROM customers AS T1
INNER JOIN invoices AS T2
  ON T1.CustomerId = T2.CustomerId
GROUP BY
  T1.CustomerId,
  T1.FirstName,
  T1.LastName limit 20",sql
91b2398a-6730-54e7-895a-f1d907335fd7-sql,default,Find the top 5 most expensive tracks (based on unit price):,"SELECT
  TrackId,
  Name,
  UnitPrice
FROM tracks
ORDER BY
  UnitPrice DESC
LIMIT 5;",sql
ccf735c3-ac77-5f73-91fc-4008aee06082-sql,default,List all genres and the number of tracks in each genre:,"SELECT
  T1.Name,
  COUNT(T2.TrackId) AS NumberOfTracks
FROM genres AS T1
INNER JOIN tracks AS T2
  ON T1.GenreId = T2.GenreId
GROUP BY
  T1.Name limit 20",sql
84382640-d65c-5861-bf71-8ba58778348b-sql,default," 
        Can you find the top 10 most popular artists based on the number of tracks?
        Hint: There are 3 tables - artists, albums and tracks, 
        where albums and artists are linked by ArtistId, albums and tracks are linked by AlbumId,
    ","SELECT
  T1.Name,
  COUNT(T3.TrackId) AS NumberOfTracks
FROM artists AS T1
INNER JOIN albums AS T2
  ON T1.ArtistId = T2.ArtistId
INNER JOIN tracks AS T3
  ON T2.AlbumId = T3.AlbumId
GROUP BY
  T1.Name
ORDER BY
  NumberOfTracks DESC
LIMIT 10;",sql
3bf6e13e-040c-569a-8f2d-1e1d443358db-sql,default,List all customers from Canada and their email addresses:,"SELECT
  FirstName,
  LastName,
  Email
FROM customers
WHERE
  Country = 'Canada' limit 20",sql
11d3a130-7385-54e8-bacd-7eb9b93ce72e-sql,default,Find the customer with the most invoices ,"SELECT
  T1.FirstName,
  T1.LastName,
  COUNT(T2.InvoiceId) AS NumberOfInvoices
FROM customers AS T1
INNER JOIN invoices AS T2
  ON T1.CustomerId = T2.CustomerId
GROUP BY
  T1.CustomerId,
  T1.FirstName,
  T1.LastName
ORDER BY
  NumberOfInvoices DESC
LIMIT 1;",sql
