file_id,lob,region,cust_id,created,uid,s3_location
26,lob1,us-west,6682473773,2020-07-23 21:55:36.589083,1qsd,s3://bucket/prefix/f2a767ef-38e0-4020-b70c-e348bf9f723e.mp3
27,lob2,us-east,4200436527,2020-07-23 21:55:36.589105,b6sd,s3://bucket/prefix/17286c3f-a3a8-4f1d-9b44-51d9c0155a9e.mp3
28,lob1,us-west,8453754579,2020-07-23 21:55:36.589126,ppsd,s3://bucket/prefix/fef4c190-e64d-4fe1-9d09-db1ac280a181.mp3
29,lob1,us-central,5850531061,2020-07-23 21:55:36.589146,puzd,s3://bucket/prefix/443952a2-a4c5-444d-ae47-1bc4683a23ee.mp3
30,lob1,us-west,8535942319,2020-07-23 21:55:36.589167,re7d,s3://bucket/prefix/d560e66c-a2a9-4609-9259-dc45b2ff258b.mp3
31,lob1,us-central,7273790801,2020-07-23 21:55:36.589189,4m2d,s3://bucket/prefix/59c631c4-a553-4343-9492-c84bb9dc6283.mp3
32,lob2,us-central,1782954044,2020-07-23 21:55:36.589210,9hld,s3://bucket/prefix/7b703fca-abb4-4626-bd88-7862521f0b32.mp3
33,lob1,us-east,1393890523,2020-07-23 21:55:36.589279,xxwd,s3://bucket/prefix/93d6e870-0da7-4bd3-96d1-45ab170351bf.mp3
34,lob2,us-west,1539664230,2020-07-23 21:55:36.589310,uzyd,s3://bucket/prefix/2232104e-0f3c-4bc2-a191-861428fd275e.mp3
35,lob1,us-east,7358630930,2020-07-23 21:55:36.589332,pd0d,s3://bucket/prefix/06ae0a39-c1ab-41e5-91e1-4063bc081139.mp3
36,lob2,us-east,804221620,2020-07-23 21:55:36.589354,rfvd,s3://bucket/prefix/3070d531-31bd-4099-8ab3-80e632d60246.mp3
37,lob1,us-east,6211101769,2020-07-23 21:55:36.589376,g9dd,s3://bucket/prefix/e749ceb6-fd63-4f37-b00c-67130aea0226.mp3
38,lob2,us-central,3501674732,2020-07-23 21:55:36.589398,cvid,s3://bucket/prefix/d682e07c-1805-4a9d-a5d5-d0c9e5d4e9d6.mp3
39,lob1,us-west,7455498263,2020-07-23 21:55:36.589419,519d,s3://bucket/prefix/a76827ca-d4db-45bf-b660-7164974c8a2b.mp3
40,lob1,us-east,1496524625,2020-07-23 21:55:36.589441,p7gd,s3://bucket/prefix/4547f1d0-8f8b-4381-af4e-70a822af9797.mp3
41,lob2,us-east,2434768295,2020-07-23 21:55:36.589461,ip7d,s3://bucket/prefix/c80c0d51-63e1-43f2-a38f-71b9a135d45a.mp3
42,lob2,us-east,1910347168,2020-07-23 21:55:36.589484,r9ld,s3://bucket/prefix/d967a2c1-de33-4261-9eea-dcc3d197fce7.mp3
43,lob1,us-central,7855027717,2020-07-23 21:55:36.589507,op3d,s3://bucket/prefix/0fda7e49-27bd-4f66-8a36-689d8f864d7e.mp3
44,lob2,us-east,9063431313,2020-07-23 21:55:36.589528,lv6d,s3://bucket/prefix/2027e822-fa67-46d2-9a17-f0ef670db844.mp3
45,lob1,us-central,5364885238,2020-07-23 21:55:36.589549,mt4d,s3://bucket/prefix/d7fbfef1-bbea-48a9-ad7e-12428b98332c.mp3
46,lob1,us-west,4663505161,2020-07-23 21:55:36.589572,3pwd,s3://bucket/prefix/6644ddee-1159-4c8d-953f-7dd49f2c5dcb.mp3
47,lob2,us-west,9954616311,2020-07-23 21:55:36.589594,no0d,s3://bucket/prefix/9a22d122-2084-4b7a-95ad-a787b31e97a3.mp3
48,lob1,us-east,1451588266,2020-07-23 21:55:36.589616,2gad,s3://bucket/prefix/caf5a44a-2c59-4026-af3d-2d8fc4dffe2e.mp3
49,lob1,us-central,4066623768,2020-07-23 21:55:36.589638,14id,s3://bucket/prefix/c2c62d22-fab9-4047-9939-070c51999274.mp3
50,lob2,us-west,3631605877,2020-07-23 21:55:36.589660,55ed,s3://bucket/prefix/1cefa5e4-bb2c-4d29-8085-2eafd2d212ba.mp3
51,lob1,us-east,3148360434,2020-07-23 21:55:36.589682,61pd,s3://bucket/prefix/a75b6694-b34a-49d8-aee7-52deb560607e.mp3
52,lob1,us-east,194359219,2020-07-23 21:55:36.589711,lzgd,s3://bucket/prefix/b09f2d7e-45ea-47d0-b995-7dfe57cf270c.mp3
53,lob2,us-east,4559677931,2020-07-23 21:55:36.589733,xwhd,s3://bucket/prefix/4f9eedc8-447c-4cf1-9ef4-27d84c9508eb.mp3
54,lob1,us-east,9835122293,2020-07-23 21:55:36.589755,1lnd,s3://bucket/prefix/987af55d-e4c1-4196-a15f-2ac467adfdd8.mp3
55,lob2,us-west,1542590860,2020-07-23 21:55:36.589777,q0jd,s3://bucket/prefix/128d879a-d031-487f-af29-36cef8e0941b.mp3
56,lob2,us-west,6057765933,2020-07-23 21:55:36.589799,czpd,s3://bucket/prefix/d8057bb8-1456-4a21-a3d0-cb19daad532a.mp3
57,lob1,us-east,2802423924,2020-07-23 21:55:36.589821,6gad,s3://bucket/prefix/4f05551b-69db-4877-9bf2-14add9472cb2.mp3
58,lob1,us-east,3570859352,2020-07-23 21:55:36.589842,p79d,s3://bucket/prefix/5f393640-a738-4b70-8094-3b3488b748e8.mp3
59,lob2,us-central,9321977530,2020-07-23 21:55:36.589864,105d,s3://bucket/prefix/599f70a8-7dbf-4214-973a-7ec0a5f566b6.mp3
60,lob2,us-east,1769334212,2020-07-23 21:55:36.589991,8q7d,s3://bucket/prefix/a91bf35c-d023-4692-bacc-4d120fd92517.mp3
61,lob1,us-west,1656716269,2020-07-23 21:55:36.590018,8uyd,s3://bucket/prefix/59321484-131a-4ae8-ab70-70208e870383.mp3
62,lob1,us-east,211521354,2020-07-23 21:55:36.590039,wgkd,s3://bucket/prefix/45a5c98c-5904-4578-84c6-10799b0a4cb9.mp3
63,lob2,us-central,9402809677,2020-07-23 21:55:36.590062,to2d,s3://bucket/prefix/1a9e5bef-7f73-4b3a-a480-07c58f34d2b6.mp3
64,lob2,us-central,5856166218,2020-07-23 21:55:36.590084,3j7d,s3://bucket/prefix/44c66a00-31ca-42ca-b5ac-c05231692e5e.mp3
65,lob2,us-central,5242338103,2020-07-23 21:55:36.590289,jdwd,s3://bucket/prefix/996cbfcf-bc62-40d3-a20a-c5c26c0e27a3.mp3
66,lob2,us-central,8606455244,2020-07-23 21:55:36.590671,5xmd,s3://bucket/prefix/1e2b9fde-2417-409c-84dd-f12310a63686.mp3
67,lob2,us-central,7734887088,2020-07-23 21:55:36.590698,49ud,s3://bucket/prefix/37257c10-bf25-4099-8a87-f1b3ceb96180.mp3
68,lob1,us-east,4679534661,2020-07-23 21:55:36.590762,twrd,s3://bucket/prefix/a5242210-af04-4c13-b03b-abb1fb4bc104.mp3
69,lob1,us-central,5516759905,2020-07-23 21:55:36.590786,rqsd,s3://bucket/prefix/8c01e845-ad59-4990-9d91-bf19545732d5.mp3
70,lob1,us-east,7519672498,2020-07-23 21:55:36.590810,ijsd,s3://bucket/prefix/d28514e3-8701-4683-b3dc-fc90c7e2ba04.mp3
71,lob1,us-central,779946335,2020-07-23 21:55:36.590833,optd,s3://bucket/prefix/f73af416-8722-4b7c-a47c-131ded813884.mp3
72,lob1,us-west,550526076,2020-07-23 21:55:36.590854,7fad,s3://bucket/prefix/a880ed21-0d34-4342-a7cb-e8f742fdab65.mp3
73,lob2,us-central,2708376259,2020-07-23 21:55:36.590876,tyhd,s3://bucket/prefix/ee6b6d53-ca7b-4371-9575-b2408ec5d4d6.mp3
74,lob1,us-central,1167136017,2020-07-23 21:55:36.590900,uprd,s3://bucket/prefix/f3129e96-19a6-4a86-a70e-0dc719f4b83e.mp3
75,lob2,us-east,5207282481,2020-07-23 21:55:36.590922,2e3d,s3://bucket/prefix/99288119-0ce9-4607-b3ac-138a160db7e5.mp3
76,lob2,us-west,9193652020,2020-07-23 21:55:36.590943,trbd,s3://bucket/prefix/21ffa2fc-ab37-4b9f-8b4b-443b4f94978b.mp3
77,lob2,us-east,3127295983,2020-07-23 21:55:36.590964,brid,s3://bucket/prefix/d8549d75-27e1-4076-8852-b72db1586345.mp3
78,lob2,us-west,8932836714,2020-07-23 21:55:36.590987,h1dd,s3://bucket/prefix/a2ff375a-c3a9-4f6a-88a9-6b972dfa22eb.mp3
79,lob1,us-east,1573632269,2020-07-23 21:55:36.591008,oz8d,s3://bucket/prefix/628376fd-182f-4d8d-9577-13869668ee6e.mp3
80,lob2,us-west,9746138809,2020-07-23 21:55:36.591028,l2hd,s3://bucket/prefix/46c213b5-f46a-413d-b743-b814ae29756a.mp3
81,lob2,us-west,124477143,2020-07-23 21:55:36.591050,3ztd,s3://bucket/prefix/a5f949fe-728e-495d-99bf-2f9df4df4e1f.mp3
82,lob2,us-west,9602209367,2020-07-23 21:55:36.591111,m2yd,s3://bucket/prefix/805491b6-22c4-4489-92af-f388d4810c81.mp3
83,lob1,us-central,8423975253,2020-07-23 21:55:36.591137,w6md,s3://bucket/prefix/c490757b-697a-4514-b819-0f3fa29f524c.mp3
84,lob2,us-central,723582742,2020-07-23 21:55:36.591160,jj4d,s3://bucket/prefix/b27d0074-895c-4d48-9575-7e7f84152d75.mp3
85,lob2,us-west,6864175747,2020-07-23 21:55:36.591182,m7sd,s3://bucket/prefix/fadce1a2-6189-41f4-83f4-512de1065481.mp3
86,lob1,us-west,8714740159,2020-07-23 21:55:36.591203,jwad,s3://bucket/prefix/d6940359-0f04-42b1-b974-896448a0a117.mp3
87,lob2,us-west,2527897184,2020-07-23 21:55:36.591226,1n7d,s3://bucket/prefix/444dfcc5-7c2c-4e84-be80-95e2133d233d.mp3
88,lob1,us-west,5278298834,2020-07-23 21:55:36.591249,0led,s3://bucket/prefix/edd0ba73-0bfe-4d23-b28d-5024bf76d147.mp3
89,lob2,us-west,6902040203,2020-07-23 21:55:36.591270,c06d,s3://bucket/prefix/676fb7fd-d40d-4b7f-bec5-fabc6561cca6.mp3
90,lob2,us-west,8948194986,2020-07-23 21:55:36.591292,hovd,s3://bucket/prefix/49e0cc69-105f-43e3-9f0a-a9509f51667a.mp3
91,lob1,us-central,9345324689,2020-07-23 21:55:36.591315,dx7d,s3://bucket/prefix/d343b2ee-d9d9-455c-8d20-c26eb92067b6.mp3
92,lob2,us-east,6218162322,2020-07-23 21:55:36.591435,gi2d,s3://bucket/prefix/511ad756-147c-4d3d-a00c-eedfb8141156.mp3
93,lob2,us-central,35925691,2020-07-23 21:55:36.591460,9mrd,s3://bucket/prefix/1771db30-384e-4bba-8616-cb0764101dde.mp3
94,lob1,us-central,4271390685,2020-07-23 21:55:36.591596,b9yd,s3://bucket/prefix/4164b0b7-2b37-4b2f-a6f8-84a345b4c4bf.mp3
95,lob2,us-east,2201951225,2020-07-23 21:55:36.591631,cr9d,s3://bucket/prefix/d87d5da4-1dbe-4d38-80cd-953325091235.mp3
96,lob2,us-west,1987303397,2020-07-23 21:55:36.591654,n6hd,s3://bucket/prefix/c1328b65-aa29-4157-9ae8-45f389f6eddf.mp3
97,lob1,us-east,1748556505,2020-07-23 21:55:36.591677,hqpd,s3://bucket/prefix/f71abf11-b8c0-4dcb-8c1d-28b287672c72.mp3
98,lob2,us-west,1998091649,2020-07-23 21:55:36.591699,is8d,s3://bucket/prefix/15ea42a7-406a-4a1d-9e3e-db045d7ea783.mp3
99,lob1,us-west,7029310367,2020-07-23 21:55:36.591721,hpbd,s3://bucket/prefix/a2e342fa-a83a-4d28-bc60-e653f8bf65ed.mp3
